市町村,,,令和２年３月19日現在,,,
法人番号,名称,所在地,備考,,,
3000020035246,一戸町,岩手県二戸郡一戸町高善寺字大川鉢２４番地９,,,,
8000020041009,仙台市,宮城県仙台市青葉区国分町３丁目７－１,,,,
1000020042021,石巻市,宮城県石巻市穀町１４－１,,,,
9000020042030,塩竈市,宮城県塩竈市旭町１－１,,,,
8000020042056,気仙沼市,宮城県気仙沼市八日町１丁目１－１,,,,
8000020042064,白石市,宮城県白石市大手町１－１,,,,
8000020042072,名取市,宮城県名取市増田字柳田８０,,,,
7000020042081,角田市,宮城県角田市角田字大坊４１,,,,
6000020042099,多賀城市,宮城県多賀城市中央２丁目１－１,,,,
2000020042111,岩沼市,宮城県岩沼市桜１丁目６－２０,,,,
1000020042129,登米市,宮城県登米市迫町佐沼字中江２丁目６－１,,,,
1000020042137,栗原市,宮城県栗原市築館薬師１丁目７番１号,,,,
1000020042145,東松島市,宮城県東松島市矢本字上河戸３６－１,,,,
1000020042153,大崎市,宮城県大崎市古川七日町１－１,,,,
1000020042161,富谷市,宮城県富谷市富谷坂松田３０番地,,,,
2000020043010,蔵王町,宮城県刈田郡蔵王町大字円田字西浦北１０,,,,
1000020043028,七ケ宿町,宮城県刈田郡七ヶ宿町字関１２６,,,,
5000020043214,大河原町,宮城県柴田郡大河原町字新南１９,,,,
5000020043222,村田町,宮城県柴田郡村田町大字村田字迫６,,,,
4000020043231,柴田町,宮城県柴田郡柴田町船岡中央２丁目３－４５,,,,
3000020043249,川崎町,宮城県柴田郡川崎町大字前川字裏丁１７５－１,,,,
7000020043419,丸森町,宮城県伊具郡丸森町字鳥屋１２０,,,,
2000020043613,亘理町,宮城県亘理郡亘理町字下小路７－４,,,,
2000020043621,山元町,宮城県亘理郡山元町浅生原字作田山３２,,,,
3000020044016,松島町,宮城県宮城郡松島町高城字帰命院下一１９番地の１,,,,
2000020044041,七ヶ浜町,宮城県宮城郡七ヶ浜町東宮浜字丑谷辺５－１,,,,
1000020044067,利府町,宮城県宮城郡利府町利府字新並松４,,,,
6000020044211,大和町,宮城県黒川郡大和町吉岡まほろば１丁目１番地の１,,,,
5000020044229,大郷町,宮城県黒川郡大郷町粕川字西長崎５－８,,,,
